"ID","Title","IssueType","Category","Priority","Phase","Labels","EstimateDays","DependsOn","Summary","Files","AcceptanceCriteria"
"GM-01","GM-01 建立 business_objectives 与目标引擎","Task","GM","P0","Stage A","ai-sales;gm;p0;stage-a","1.0","","新增 business_objectives 表、目标类型定义和目标引擎，让总经理智能体每轮先定义经营目标。","types/gm.ts|lib/ai-sales/goal-engine.ts|scripts/sql/init-ai-sales-agent-schema.sql","每轮 /api/agent/run 先写入一条 business_objectives；后台可查看目标金额、目标单数和状态"
"GM-02","GM-02 实现总经理智能体策略选择器","Task","GM","P0","Stage A","ai-sales;gm;p0;stage-a","1.5","GM-01","让总经理智能体主动读取经营数据并在 B 销售、B 租赁、B 试点、服务包、渠道 starter package、替代现金流之间选择主策略。","lib/ai-sales/general-manager-agent.ts|lib/ai-sales/revenue-strategy.ts|lib/ai-sales/cashflow-engine.ts","输入同一批经营数据时能稳定输出一条主策略；返回结果必须包含 primaryGoal、chosenStrategy、expectedCashIn 和 why"
"GM-03","GM-03 建立 8 小时经营例会入口","Task","GM","P0","Stage A","ai-sales;gm;p0;stage-a","1.0","GM-01|GM-02","新增定时调度器、/api/agent/run 和调度锁，让总经理智能体每 8 小时自动开一次经营例会。","netlify.toml|netlify/functions/agent-every-8h.ts|app/api/agent/run/route.ts|lib/ai-sales/orchestrator.ts|lib/ai-sales/scheduler-lock.ts","8 小时任务会自动产生一条 agent_runs 和一条 gm_decisions；重复触发时不会并发跑两轮相同例会"
"GM-04","GM-04 实现任务拆解与指派器","Task","GM","P0","Stage B","ai-sales;gm;p0;stage-b","1.0","GM-03","把总经理智能体选出的经营目标拆成执行智能体可执行任务，并写入 agent_tasks。","lib/ai-sales/agent-runner.ts|types/agent.ts|types/gm.ts","每轮总经理决策至少拆出 1-5 条结构化任务；每条任务都能追溯到来源目标与来源决策"
"GM-05","GM-05 实现现金流快照与经营复盘","Task","GM","P1","Stage C","ai-sales;gm;p1;stage-c","1.0","GM-02|GM-04","新增 cashflow_snapshots 读写逻辑，并在每轮结束后生成经营复盘，记录目标是否命中和现金流是否改善。","lib/ai-sales/cashflow-engine.ts|lib/ai-sales/general-manager-agent.ts|app/api/admin/gm-decisions/route.ts","每轮 gm_decisions 都要有 expectedCashIn 和 actualCashIn；后台可查看上一轮策略是否有效"
"GM-06","GM-06 实现失败换挡机制","Task","GM","P1","Stage C","ai-sales;gm;p1;stage-c","0.8","GM-05","让总经理智能体在连续两轮无结果时，自动从 B 直销切换到 B 租赁、B 试点、服务包或渠道 starter package。","lib/ai-sales/revenue-strategy.ts|lib/ai-sales/gm-memory.ts|lib/ai-sales/general-manager-agent.ts","同一路径连续失败 2 轮时不会继续原地重复执行；看板可显示最近 7 天的策略切换记录"
"GM-07","GM-07 建立总经理决策看板","Task","GM","P1","Stage E","ai-sales;gm;p1;stage-e","0.8","GM-05","新增总经理决策看板，让系统运营者可查看最近几轮主目标、主推现金流路径、预计回款、实际回款和下一轮计划。","app/api/admin/gm-decisions/route.ts|app/admin/sales/page.tsx|components/sales/SalesDashboard.tsx","后台首页可看到最近 5 轮经营决策，并能查看每轮理由和结果"
"EX-01","EX-01 升级官网接待智能体","Task","EX","P0","Stage A","ai-sales;executor;p0;stage-a","1.0","GM-03","升级官网 AI 助手和 ai-chat 接口，采集行业、场景、预算、上线时间、联系方式和融资租赁意愿，并在达到阈值后自动留资。","components/AIChatbot.tsx|app/api/ai-chat/route.ts|app/api/lead-capture/route.ts","AI 对话不只答疑，还能主动引导用户进入 B 版路径；对话结束后可形成结构化 lead"
"EX-02","EX-02 实现资格判断智能体","Task","EX","P0","Stage A","ai-sales;executor;p0;stage-a","0.8","EX-01","实现线索质量分和现金流优先分，输出 leadLevel、cashflowPriority 和 recommendedPath。","lib/ai-sales/scoring.ts|app/api/lead-score/route.ts|types/sales.ts","任一线索都可同时得到质量判断和现金流优先判断；总经理智能体能按这两类分值做排序"
"EX-03","EX-03 实现报价与方案智能体","Task","EX","P0","Stage B","ai-sales;executor;p0;stage-b","1.2","EX-02","自动生成微算-B 直销、融资租赁和试点三类摘要，并插入行业案例与 ROI/TCO 口径。","lib/ai-sales/recommendation.ts|lib/ai-sales/prompts.ts|lib/ai-sales/lead-summary.ts|app/api/contact/route.ts","至少能针对 3 个典型行业自动生成 B 版摘要；文案必须区分买、租、试点三条路径"
"EX-04","EX-04 实现成交推进智能体","Task","EX","P0","Stage B","ai-sales;executor;p0;stage-b","1.0","EX-03","自动创建 followup_tasks 和下一步动作，推进离现金流最近的动作，例如发租赁资料、试点报价、押金锁单说明和预约演示邀请。","lib/ai-sales/notifications.ts|lib/ai-sales/agents/cashflow-agent.ts|lib/sales-repository.ts","每个 A/B 类线索都能自动进入下一步动作；下一步动作必须体现现金流方向"
"EX-05","EX-05 实现渠道与合伙人执行智能体","Task","EX","P0","Stage B","ai-sales;executor;p0;stage-b","1.0","GM-02","对合伙人申请自动打标签，并把卖不动 B 版单客的场景转成 starter package、联合试点或渠道现金流路径。","app/api/partnership/route.ts|lib/ai-sales/agents/partner-review-agent.ts|lib/ai-sales/recommendation.ts","合伙人申请不只是评审，而是可进入现金流路径；总经理智能体可把渠道路径设为主目标"
"EX-06","EX-06 实现代替现金流执行智能体","Task","EX","P1","Stage C","ai-sales;executor;p1;stage-c","1.0","GM-06","定义并自动推进部署服务费、培训服务费、售前评估费、联合 demo 费和短租算力包等替代现金流产品。","lib/ai-sales/revenue-strategy.ts|lib/ai-sales/agents/cashflow-agent.ts|lib/ai-sales/prompts.ts","总经理智能体可自动改推替代现金流路径，不会卡死在单一路径"
"EX-07","EX-07 实现经营复盘智能体","Task","EX","P1","Stage C","ai-sales;executor;p1;stage-c","0.8","GM-05","自动输出日报、周报和异常报告，比较最近 3 轮策略，标记低效页面、低效行业和低效话术。","lib/ai-sales/agents/ops-report-agent.ts|app/api/admin/dashboard/route.ts|app/api/admin/gm-decisions/route.ts","每轮经营结束后都能自动产出复盘摘要；报表能直接回答为什么这轮没有出现金流"
"EX-08","EX-08 实现页面策略执行智能体","Task","EX","P1","Stage E","ai-sales;executor;p1;stage-e","1.0","GM-07","让首页、产品页、案例页和合伙人页的 CTA 跟着总经理智能体当前主目标动态变化。","app/page.tsx|app/products/page.tsx|app/case-study/page.tsx|app/partnership/page.tsx|lib/ai-sales/gm-memory.ts","页面 CTA 不是静态写死，而能根据当前策略切换；切换动作必须记录到 page_events 和 gm_decisions"
"OC-01","OC-01 接入 OpenClaw 执行器适配层","Task","OC","P0","Stage D","ai-sales;openclaw;p0;stage-d","1.0","GM-04","新增 OpenClaw 执行器适配层和 /api/agent/openclaw-execute，让系统可以正式把浏览器任务转给 OpenClaw。","lib/ai-sales/openclaw-executor.ts|app/api/agent/openclaw-execute/route.ts|types/agent.ts","系统可成功把一个任务从 agent_tasks 转成 openclaw_sessions"
